id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
570154000001,"City of Alma, Precinct 1",188,19,121,0
570154000002,"City of Alma, Precinct 2",173,13,152,0
570154000003,"City of Alma, Precinct 3",169,21,101,0
574134000001,"City of Ithaca, Precinct 1",176,24,160,0
577100000001,"City of St. Louis, Precinct 1",142,22,161,0
570326000001,"Arcada Township, Precinct 1",74,6,98,1
570802000001,"Bethany Township, Precinct 1",25,7,54,0
572512000001,"Elba Township, Precinct 1",40,13,61,0
572588000001,"Emerson Township, Precinct 1",22,1,55,0
573108000001,"Fulton Township, Precinct 1",108,12,146,0
573616000001,"Hamilton Township, Precinct 1",16,2,30,0
574408000001,"Lafayette Township, Precinct 1",9,3,24,0
575736000001,"New Haven Township, Precinct 1",37,5,33,0
575704000001,"Newark Township, Precinct 1",36,5,38,0
575880000001,"North Shade Township, Precinct 1",8,0,23,0
575888000001,"North Star Township, Precinct 1",32,9,38,0
576436000001,"Pine River Township, Precinct 1",85,23,128,0
577258000001,"Seville Township, Precinct 1",84,8,97,0
577730000001,"Sumner Township, Precinct 1",61,4,74,0
578408000001,"Washington Township, Precinct 1",27,7,40,0
578662000001,"Wheeler Township, Precinct 1",78,10,139,0
