id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in,Justin Blackburn
570154000001,"City of Alma, Precinct 1",237,72,0,0
570154000002,"City of Alma, Precinct 2",266,65,0,0
570154000003,"City of Alma, Precinct 3",192,90,0,0
574134000001,"City of Ithaca, Precinct 1",193,151,0,0
577100000001,"City of St. Louis, Precinct 1",212,100,0,0
570326000001,"Arcada Township, Precinct 1",101,71,0,0
570802000001,"Bethany Township, Precinct 1",38,42,0,0
572512000001,"Elba Township, Precinct 1",70,46,0,0
572588000001,"Emerson Township, Precinct 1",50,30,0,0
573108000001,"Fulton Township, Precinct 1",180,76,2,0
573616000001,"Hamilton Township, Precinct 1",25,22,0,0
574408000001,"Lafayette Township, Precinct 1",23,11,0,0
575736000001,"New Haven Township, Precinct 1",47,25,0,0
575704000001,"Newark Township, Precinct 1",43,34,0,0
575880000001,"North Shade Township, Precinct 1",24,9,0,0
575888000001,"North Star Township, Precinct 1",47,32,0,0
576436000001,"Pine River Township, Precinct 1",156,70,0,0
577258000001,"Seville Township, Precinct 1",124,62,1,0
577730000001,"Sumner Township, Precinct 1",96,37,0,0
578408000001,"Washington Township, Precinct 1",42,30,0,0
578662000001,"Wheeler Township, Precinct 1",129,101,0,0
