id,name,John Moolenaar,Write-in
1233070000001,"City of Fremont, Precinct 1",374,3
1233070000002,"City of Fremont, Precinct 2",330,2
1233436000001,"City of Grant, Precinct 1",99,1
1235708000001,"City of Newaygo, Precinct 1",205,0
1238668000001,"City of White Cloud, Precinct 1",149,0
1230370000001,"Ashland Township, Precinct 1",400,0
1230562000001,"Barton Township, Precinct 1",129,0
1230658000001,"Beaver Township, Precinct 1",67,1
1230828000001,"Big Prairie Township, Precinct 1",279,1
1231050000001,"Bridgeton Township, Precinct 1",284,1
1231106000001,"Brooks Township, Precinct 1",595,4
1231898000001,"Croton Township, Precinct 1",550,3
1231996000001,"Dayton Township, Precinct 1",370,0
1232170000001,"Denver Township, Precinct 1",212,0
1232616000001,"Ensley Township, Precinct 1",492,3
1232670000001,"Everett Township, Precinct 1",286,2
1233164000001,"Garfield Township, Precinct 1",414,1
1233300000001,"Goodwell Township, Precinct 1",107,0
1233438000001,"Grant Township, Precinct 1",527,6
1233886000001,"Home Township, Precinct 1",65,0
1234744000001,"Lilley Township, Precinct 1",129,0
1234770000001,"Lincoln Township, Precinct 1",240,2
1235316000001,"Merrill Township, Precinct 1",159,4
1235506000001,"Monroe Township, Precinct 1",54,1
1235930000001,"Norwich Township, Precinct 1",88,1
1237312000001,"Sheridan Charter Township, Precinct 1",459,1
1237326000001,"Sherman Township, Precinct 1",403,2
1238068000001,"Troy Township, Precinct 1",29,1
1238720000001,"Wilcox Township, Precinct 1",157,2
