id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in
1233070000001,"City of Fremont, Precinct 1",264,19,0
1233070000002,"City of Fremont, Precinct 2",205,34,0
1233436000001,"City of Grant, Precinct 1",52,6,0
1235708000001,"City of Newaygo, Precinct 1",156,31,0
1238668000001,"City of White Cloud, Precinct 1",76,19,1
1230370000001,"Ashland Township, Precinct 1",193,28,1
1230562000001,"Barton Township, Precinct 1",43,8,0
1230658000001,"Beaver Township, Precinct 1",34,2,1
1230828000001,"Big Prairie Township, Precinct 1",162,16,0
1231050000001,"Bridgeton Township, Precinct 1",167,35,1
1231106000001,"Brooks Township, Precinct 1",304,31,3
1231898000001,"Croton Township, Precinct 1",306,48,2
1231996000001,"Dayton Township, Precinct 1",157,21,0
1232170000001,"Denver Township, Precinct 1",134,19,1
1232616000001,"Ensley Township, Precinct 1",165,39,0
1232670000001,"Everett Township, Precinct 1",140,33,0
1233164000001,"Garfield Township, Precinct 1",177,26,0
1233300000001,"Goodwell Township, Precinct 1",27,11,0
1233438000001,"Grant Township, Precinct 1",183,34,0
1233886000001,"Home Township, Precinct 1",24,4,0
1234744000001,"Lilley Township, Precinct 1",71,6,0
1234770000001,"Lincoln Township, Precinct 1",129,12,1
1235316000001,"Merrill Township, Precinct 1",51,9,0
1235506000001,"Monroe Township, Precinct 1",13,4,0
1235930000001,"Norwich Township, Precinct 1",38,9,0
1237312000001,"Sheridan Charter Township, Precinct 1",200,26,0
1237326000001,"Sherman Township, Precinct 1",153,18,0
1238068000001,"Troy Township, Precinct 1",15,1,0
1238720000001,"Wilcox Township, Precinct 1",74,12,0
