id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
530796000001,"City of Bessemer, Precinct 1",34,76,64,0,0
534106000001,"City of Ironwood, Precinct 1",11,62,57,2,0
534106000002,"City of Ironwood, Precinct 2",17,104,89,1,0
538278000001,"City of Wakefield, Precinct 1",19,71,71,6,0
530798000001,"Bessemer Township, Precinct 1",12,50,37,1,0
532634000001,"Erwin Township, Precinct 1",4,24,12,2,0
534108000001,"Ironwood Charter Township, Precinct 1",23,166,94,5,0
535156000001,"Marenisco Township, Precinct 1",8,54,25,0,0
538280000001,"Wakefield Township, Precinct 1",6,16,25,0,0
538438000001,"Watersmeet Township, Precinct 1",21,124,62,2,0
