id,name,Callie Barr,Kyle Blomquist,Wayne Stiles,Write-in
530796000001,"City of Bessemer, Precinct 1",139,89,13,0
534106000001,"City of Ironwood, Precinct 1",132,137,16,0
534106000002,"City of Ironwood, Precinct 2",154,122,26,0
538278000001,"City of Wakefield, Precinct 1",83,59,8,0
530798000001,"Bessemer Township, Precinct 1",50,47,5,0
532634000001,"Erwin Township, Precinct 1",24,22,6,0
534108000001,"Ironwood Charter Township, Precinct 1",167,127,18,0
535156000001,"Marenisco Township, Precinct 1",35,18,3,0
538280000001,"Wakefield Township, Precinct 1",18,16,1,0
538438000001,"Watersmeet Township, Precinct 1",115,39,13,0
