id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
1551830000001,"City of Corunna, Precinct 1",5,7,11,1,0
1552350000001,"City of Durand, Precinct 1",0,0,0,0,0
1552350000002,"City of Durand, Precinct 2",0,4,4,0,0
1554420000001,"City of Laingsburg, Precinct 1",1,2,0,0,0
1556194000001,"City of Owosso, Precinct 1",5,12,1,1,0
1556194002001,"City of Owosso, Precinct 2",2,10,6,1,0
1556194000003,"City of Owosso, Precinct 3",2,9,3,0,0
1556194000004,"City of Owosso, Precinct 4",4,5,6,0,0
1556194000005,"City of Owosso, Precinct 5",4,3,4,0,0
1556194000006,"City of Owosso, Precinct 6",1,6,3,0,0
1556370000001,"City of Perry, Precinct 1",0,2,1,0,0
1550312000001,"Antrim Township, Precinct 1",1,2,6,0,1
1550728000001,"Bennington Township, Precinct 1",5,18,5,1,0
1551188000001,"Burns Township, Precinct 1",0,6,2,1,0
1551252000001,"Caledonia Charter Township, Precinct 1",3,12,15,0,0
1552704000001,"Fairfield Township, Precinct 1",0,0,0,0,0
1553744000001,"Hazelton Township, Precinct 1",0,3,0,0,0
1555368000001,"Middlebury Township, Precinct 1",1,2,1,0,0
1555740000001,"New Haven Township, Precinct 1",1,9,6,1,0
1556196000001,"Owosso Charter Township, Precinct 1",8,8,8,0,0
1556196000002,"Owosso Charter Township, Precinct 2",1,10,2,0,0
1556372000001,"Perry Township, Precinct 1",1,1,0,0,0
1556372000002,"Perry Township, Precinct 2",0,2,0,0,0
1557026000001,"Rush Township, Precinct 1",1,3,2,1,0
1557196000001,"Sciota Township, Precinct 1",0,6,3,0,0
1557352000001,"Shiawassee Township, Precinct 1",0,9,8,0,0
1558188000001,"Venice Township, Precinct 1",0,4,7,0,0
1558204000001,"Vernon Township, Precinct 1",0,7,3,0,0
1558204000002,"Vernon Township, Precinct 2",2,7,1,0,0
1558840000001,"Woodhull Township, Precinct 1",1,5,4,0,0
