name,ballots,T. P. Nykoriak,Write-in,id
"City of Allen Park, Precinct 1",0,0,0,1630138000001
"City of Allen Park, Precinct 2",0,0,0,1630138000002
"City of Allen Park, Precinct 3",0,0,0,1630138000003
"City of Allen Park, Precinct 4",0,0,0,1630138000004
"City of Allen Park, Precinct 5",0,0,0,1630138000005
"City of Allen Park, Precinct 6",0,0,0,1630138000006
"City of Allen Park, Precinct 7",0,0,0,1630138000007
"City of Allen Park, Precinct 8",0,0,0,1630138000008
"City of Dearborn Heights, Precinct 11",0,0,0,1632102000011
"City of Dearborn Heights, Precinct 12",0,0,0,1632102000012
"City of Dearborn Heights, Precinct 13",0,0,0,1632102000013
"City of Dearborn Heights, Precinct 14",0,0,0,1632102000014
"City of Dearborn Heights, Precinct 15",0,0,0,1632102000015
"City of Detroit, Precinct 1",152,1,0,1632200004001
"City of Detroit, Precinct 2",154,0,0,1632200004002
"City of Detroit, Precinct 4",52,2,0,1632200004004
"City of Detroit, Precinct 5",163,1,0,1632200004005
"City of Detroit, Precinct 6",152,0,0,1632200004006
"City of Detroit, Precinct 7",224,14,0,1632200004007
"City of Detroit, Precinct 8",159,6,0,1632200004008
"City of Detroit, Precinct 9",91,3,0,1632200004009
"City of Detroit, Precinct 10",66,1,0,1632200004010
"City of Detroit, Precinct 11",205,1,0,1632200004011
"City of Detroit, Precinct 12",178,0,0,1632200004012
"City of Detroit, Precinct 14",27,1,0,1632200004014
"City of Detroit, Precinct 15",103,2,0,1632200004015
"City of Detroit, Precinct 16",69,1,0,1632200004016
"City of Detroit, Precinct 18",133,4,0,1632200004018
"City of Detroit, Precinct 19",84,10,0,1632200004019
"City of Detroit, Precinct 20",188,15,3,1632200004020
"City of Detroit, Precinct 22",101,2,0,1632200004022
"City of Detroit, Precinct 23",211,5,0,1632200004023
"City of Detroit, Precinct 25",82,1,0,1632200004025
"City of Detroit, Precinct 26",57,1,0,1632200004026
"City of Detroit, Precinct 27",111,1,0,1632200004027
"City of Detroit, Precinct 29",51,0,0,1632200004029
"City of Detroit, Precinct 32",264,5,0,1632200004032
"City of Detroit, Precinct 33",138,4,0,1632200004033
"City of Detroit, Precinct 34",248,5,4,1632200004034
"City of Detroit, Precinct 35",112,1,0,1632200004035
"City of Detroit, Precinct 36",99,0,0,1632200004036
"City of Detroit, Precinct 38",120,1,0,1632200004038
"City of Detroit, Precinct 39",100,1,0,1632200004039
"City of Detroit, Precinct 40",77,2,0,1632200004040
"City of Detroit, Precinct 41",81,1,0,1632200004041
"City of Detroit, Precinct 43",184,1,0,1632200004043
"City of Detroit, Precinct 44",129,1,0,1632200004044
"City of Detroit, Precinct 45",101,3,0,1632200004045
"City of Detroit, Precinct 46",79,0,0,1632200004046
"City of Detroit, Precinct 47",183,3,0,1632200004047
"City of Detroit, Precinct 49",39,1,0,1632200004049
"City of Detroit, Precinct 50",151,4,0,1632200004050
"City of Detroit, Precinct 51",69,0,0,1632200004051
"City of Detroit, Precinct 52",95,1,0,1632200004052
"City of Detroit, Precinct 53",131,1,0,1632200004053
"City of Detroit, Precinct 55",120,1,1,1632200004055
"City of Detroit, Precinct 56",72,2,0,1632200004056
"City of Detroit, Precinct 59",0,0,0,1632200003059
"City of Detroit, Precinct 61",109,1,0,1632200003061
"City of Detroit, Precinct 62",147,0,0,1632200003062
"City of Detroit, Precinct 64",61,1,0,1632200003064
"City of Detroit, Precinct 65",172,5,0,1632200003065
"City of Detroit, Precinct 66",60,2,0,1632200003066
"City of Detroit, Precinct 68",273,2,0,1632200003068
"City of Detroit, Precinct 69",11,1,0,1632200006069
"City of Detroit, Precinct 70",68,1,0,1632200003070
"City of Detroit, Precinct 71",79,6,0,1632200003071
"City of Detroit, Precinct 72",71,3,0,1632200003072
"City of Detroit, Precinct 73",58,0,0,1632200003073
"City of Detroit, Precinct 74",68,3,0,1632200003074
"City of Detroit, Precinct 75",122,2,0,1632200003075
"City of Detroit, Precinct 77",116,5,0,1632200003077
"City of Detroit, Precinct 78",67,0,0,1632200003078
"City of Detroit, Precinct 79",155,1,0,1632200003079
"City of Detroit, Precinct 80",89,1,0,1632200003080
"City of Detroit, Precinct 81",150,5,0,1632200003081
"City of Detroit, Precinct 82",102,6,0,1632200003082
"City of Detroit, Precinct 83",112,1,0,1632200003083
"City of Detroit, Precinct 84",126,1,0,1632200003084
"City of Detroit, Precinct 85",51,2,1,1632200003085
"City of Detroit, Precinct 86",130,1,0,1632200003086
"City of Detroit, Precinct 88",131,0,0,1632200003088
"City of Detroit, Precinct 89",77,0,0,1632200003089
"City of Detroit, Precinct 90",61,0,0,1632200003090
"City of Detroit, Precinct 91",131,2,0,1632200003091
"City of Detroit, Precinct 92",141,14,0,1632200003092
"City of Detroit, Precinct 93",40,0,0,1632200003093
"City of Detroit, Precinct 94",125,1,1,1632200003094
"City of Detroit, Precinct 95",122,9,0,1632200003095
"City of Detroit, Precinct 97",56,0,0,1632200003097
"City of Detroit, Precinct 98",58,4,0,1632200003098
