id,name,total,over_votes,under_votes,Write-in,Jocelyn Benson,Christopher Robert Swanson,WI
470638000001,"Bear Creek Township, Precinct 1",12,,,0,8,4,0
470638000002,"Bear Creek Township, Precinct 2",13,,,0,8,5,0
470898000001,"Bliss Township, Precinct 1",4,,,0,4,0,0
471350000001,"Carp Lake Township, Precinct 1",1,,,0,1,0,0
471430000001,"Center Township, Precinct 1",1,,,0,0,1,0
471890000001,"Cross Village Township, Precinct 1",4,,,0,4,0,0
473086000001,"Friendship Township, Precinct 1",13,,,0,13,0,0
473656000001,"City of Harbor Springs, Precinct 1",6,,,0,4,2,0
474808000001,"Little Traverse Township, Precinct 1",27,,,0,27,0,0
474802000001,"Littlefield Township, Precinct 1",25,,,0,21,4,0
475128000001,"Maple River Township, Precinct 1",2,,,0,2,0,0
475034000001,"McKinley Township, Precinct 1",2,,,0,2,0,0
476382001001,"City of Petoskey, Ward 1, Precinct 1",14,,,0,14,0,0
476382002002,"City of Petoskey, Ward 2, Precinct 1",19,,,0,17,2,0
476382003003,"City of Petoskey, Ward 3, Precinct 1",10,,,0,8,2,0
476382004004,"City of Petoskey, Ward 4, Precinct 1",12,,,0,9,3,0
476496000001,"Pleasantview Township, Precinct 1",4,,,0,3,1,0
476754000001,"Readmond Township, Precinct 1",5,,,0,5,0,0
476806000001,"Resort Township, Precinct 1",13,,,0,13,0,0
477590000001,"Springvale Township, Precinct 1",0,,,0,0,0,0
478484000001,"Wawatam Township, Precinct 1",1,,,0,1,0,0
478630000001,"West Traverse Township, Precinct 1",12,,,0,7,5,0
