id,name,total,over_votes,under_votes,Write-in,Jack Bergman,Matthew DenOtter,Justin Michal,WI
470638000001,"Bear Creek Township, Precinct 1",5,,,0,5,0,0,0
470638000002,"Bear Creek Township, Precinct 2",7,,,0,5,2,0,0
470898000001,"Bliss Township, Precinct 1",0,,,0,0,0,0,0
471350000001,"Carp Lake Township, Precinct 1",0,,,0,0,0,0,0
471430000001,"Center Township, Precinct 1",0,,,0,0,0,0,0
471890000001,"Cross Village Township, Precinct 1",2,,,0,2,0,0,0
473086000001,"Friendship Township, Precinct 1",6,,,0,6,0,0,0
473656000001,"City of Harbor Springs, Precinct 1",6,,,0,6,0,0,0
474808000001,"Little Traverse Township, Precinct 1",12,,,0,6,3,3,0
474802000001,"Littlefield Township, Precinct 1",19,,,0,17,0,2,0
475128000001,"Maple River Township, Precinct 1",6,,,0,3,2,1,0
475034000001,"McKinley Township, Precinct 1",1,,,0,0,1,0,0
476382001001,"City of Petoskey, Ward 1, Precinct 1",1,,,0,1,0,0,0
476382002002,"City of Petoskey, Ward 2, Precinct 1",4,,,0,3,0,1,0
476382003003,"City of Petoskey, Ward 3, Precinct 1",2,,,0,2,0,0,0
476382004004,"City of Petoskey, Ward 4, Precinct 1",1,,,0,1,0,0,0
476496000001,"Pleasantview Township, Precinct 1",8,,,0,6,1,1,0
476754000001,"Readmond Township, Precinct 1",7,,,0,5,0,2,0
476806000001,"Resort Township, Precinct 1",8,,,0,5,2,1,0
477590000001,"Springvale Township, Precinct 1",6,,,0,5,0,1,0
478484000001,"Wawatam Township, Precinct 1",1,,,0,1,0,0,0
478630000001,"West Traverse Township, Precinct 1",12,,,0,5,2,5,0
