id,name,John Moolenaar,Write-in
735602000001,"City of Mt. Pleasant, Precinct 1",283,2
735602000002,"City of Mt. Pleasant, Precinct 2",415,1
735602000003,"City of Mt. Pleasant, Precinct 3",143,1
731114000001,"Broomfield Township, Precinct 1",230,2
731558000001,"Chippewa Township, Precinct 1",195,0
731558000002,"Chippewa Township, Precinct 2",141,1
731688000001,"Coe Township, Precinct 1",310,0
731706000001,"Coldwater Township, Precinct 1",96,0
732114000001,"Deerfield Township, Precinct 1",256,0
732114000002,"Deerfield Township, Precinct 2",147,0
732168000001,"Denver Township, Precinct 1",108,0
733068000001,"Fremont Township, Precinct 1",168,0
733220000001,"Gilmore Township, Precinct 1",206,1
734116000001,"Isabella Township, Precinct 1",187,1
734766000001,"Lincoln Township, Precinct 1",281,1
735936000001,"Nottawa Township, Precinct 1",284,3
736930000001,"Rolland Township, Precinct 1",134,0
737320000001,"Sherman Township, Precinct 1",235,0
737320000002,"Sherman Township, Precinct 2",183,1
738134000001,"Union Charter Township, Precinct 1",443,1
738134000002,"Union Charter Township, Precinct 2",200,1
738200000001,"Vernon Township, Precinct 1",172,0
738804000001,"Wise Township, Precinct 1",168,0
