id,name,John Moolenaar,Write-in
735602000001,"City of Mt. Pleasant, Precinct 1",21,1
735602000002,"City of Mt. Pleasant, Precinct 2",27,0
735602000003,"City of Mt. Pleasant, Precinct 3",24,1
731114000001,"Broomfield Township, Precinct 1",3,0
731558000001,"Chippewa Township, Precinct 1",0,0
731558000002,"Chippewa Township, Precinct 2",8,0
731688000001,"Coe Township, Precinct 1",11,0
731706000001,"Coldwater Township, Precinct 1",2,0
732114000001,"Deerfield Township, Precinct 1",6,0
732114000002,"Deerfield Township, Precinct 2",4,0
732168000001,"Denver Township, Precinct 1",2,0
733068000001,"Fremont Township, Precinct 1",7,0
733220000001,"Gilmore Township, Precinct 1",0,0
734116000001,"Isabella Township, Precinct 1",6,0
734766000001,"Lincoln Township, Precinct 1",15,0
735936000001,"Nottawa Township, Precinct 1",6,0
736930000001,"Rolland Township, Precinct 1",0,0
737320000001,"Sherman Township, Precinct 1",10,0
737320000002,"Sherman Township, Precinct 2",1,0
738134000001,"Union Charter Township, Precinct 1",32,0
738134000002,"Union Charter Township, Precinct 2",8,0
738200000001,"Vernon Township, Precinct 1",6,0
738804000001,"Wise Township, Precinct 1",0,0
