id,name,Jack Bergman,Matthew DenOtter,Justin Michal,Write-in
412636000001,"City of Escanaba, Precinct 1",8,1,6,0
412636000002,"City of Escanaba, Precinct 2",9,0,2,0
412636000003,"City of Escanaba, Precinct 3",1,0,5,0
412636000004,"City of Escanaba, Precinct 4",2,0,2,0
413230000001,"City of Gladstone, Precinct 1",6,2,3,0
413230000002,"City of Gladstone, Precinct 2",14,1,4,0
410490000001,"Baldwin Township, Precinct 1",0,0,2,0
410542000001,"Bark River Township, Precinct 1",2,0,0,0
410604000001,"Bay de Noc Township, Precinct 1",1,0,0,0
410998000001,"Brampton Township, Precinct 1",1,1,1,1
411828000001,"Cornell Township, Precinct 1",1,0,1,0
412614000001,"Ensign Township, Precinct 1",2,0,0,0
412638000001,"Escanaba Township, Precinct 1",5,0,4,0
412638000002,"Escanaba Township, Precinct 2",5,1,2,0
412696000001,"Fairbanks Township, Precinct 1",0,0,0,0
412938000001,"Ford River Township, Precinct 1",2,0,2,0
413140000001,"Garden Township, Precinct 1",1,0,0,0
415126000001,"Maple Ridge Township, Precinct 1",5,0,0,0
415222000001,"Masonville Township, Precinct 1",5,1,0,0
415650000001,"Nahma Township, Precinct 1",5,0,0,0
418524000001,"Wells Township, Precinct 1",24,1,13,0
