id,name,Callie Barr,Kyle Blomquist,Wayne Stiles,Write-in
412636000001,"City of Escanaba, Precinct 1",2,14,0,0
412636000002,"City of Escanaba, Precinct 2",3,3,1,0
412636000003,"City of Escanaba, Precinct 3",0,2,1,0
412636000004,"City of Escanaba, Precinct 4",0,1,1,0
413230000001,"City of Gladstone, Precinct 1",1,1,0,0
413230000002,"City of Gladstone, Precinct 2",5,4,0,0
410490000001,"Baldwin Township, Precinct 1",0,0,0,0
410542000001,"Bark River Township, Precinct 1",0,2,0,0
410604000001,"Bay de Noc Township, Precinct 1",0,1,0,0
410998000001,"Brampton Township, Precinct 1",0,2,0,0
411828000001,"Cornell Township, Precinct 1",0,1,0,0
412614000001,"Ensign Township, Precinct 1",0,0,0,0
412638000001,"Escanaba Township, Precinct 1",3,2,1,0
412638000002,"Escanaba Township, Precinct 2",0,4,0,0
412696000001,"Fairbanks Township, Precinct 1",0,0,0,0
412938000001,"Ford River Township, Precinct 1",7,3,2,0
413140000001,"Garden Township, Precinct 1",0,0,0,0
415126000001,"Maple Ridge Township, Precinct 1",0,0,0,0
415222000001,"Masonville Township, Precinct 1",6,2,0,0
415650000001,"Nahma Township, Precinct 1",0,0,0,0
418524000001,"Wells Township, Precinct 1",8,10,1,0
