id,name,Christian Vukasovich,Write-in
1154970000001,"City of Luna Pier, Precinct 1",0,0
1155502000001,"City of Monroe, Precinct 1",13,0
1155502000002,"City of Monroe, Precinct 2",22,0
,"City of Monroe, Precinct 3N",5,1
,"City of Monroe, Precinct 3S",3,0
1155502000004,"City of Monroe, Precinct 4",21,0
1155502000005,"City of Monroe, Precinct 5",17,0
1155502000006,"City of Monroe, Precinct 6",14,0
1156380000001,"City of Petersburg, Precinct 1",10,0
1150368000001,"Ash Township, Precinct 1",3,0
1150368000002,"Ash Township, Precinct 2",10,0
1150368000003,"Ash Township, Precinct 3",7,0
1150674000001,"Bedford Township, Precinct 1",0,0
1150674000002,"Bedford Township, Precinct 2",7,0
1150674000003,"Bedford Township, Precinct 3",5,0
1150674000004,"Bedford Township, Precinct 4",12,0
1150674000005,"Bedford Township, Precinct 5",15,1
1150674000006,"Bedford Township, Precinct 6",5,0
1150674000007,"Bedford Township, Precinct 7",14,0
1150674000008,"Bedford Township, Precinct 8",10,0
1150674000009,"Bedford Township, Precinct 9",5,0
1150674000010,"Bedford Township, Precinct 10",4,0
1150674000011,"Bedford Township, Precinct 11",9,0
1150674000012,"Bedford Township, Precinct 12",8,0
1150674000013,"Bedford Township, Precinct 13",1,0
1150674000014,"Bedford Township, Precinct 14",7,0
1150772000001,"Berlin Township, Precinct 1",5,1
1150772000002,"Berlin Township, Precinct 2",19,1
1150772000003,"Berlin Township, Precinct 3",6,0
1150772000004,"Berlin Township, Precinct 4",16,0
1152340000001,"Dundee Township, Precinct 1",5,0
1152340000002,"Dundee Township, Precinct 2",15,0
1152340000003,"Dundee Township, Precinct 3",13,0
1152632000001,"Erie Township, Precinct 1",14,0
1152688000001,"Exeter Township, Precinct 1",4,0
1152688000002,"Exeter Township, Precinct 2",13,0
1153082000001,"Frenchtown Township, Precinct 1",7,0
1153082000002,"Frenchtown Township, Precinct 2",3,0
1153082000003,"Frenchtown Township, Precinct 3",6,0
1153082000004,"Frenchtown Township, Precinct 4",15,1
1153082000005,"Frenchtown Township, Precinct 5",9,0
1153082000006,"Frenchtown Township, Precinct 6",6,1
1153082000007,"Frenchtown Township, Precinct 7",20,0
1153082000008,"Frenchtown Township, Precinct 8",3,0
1153082000009,"Frenchtown Township, Precinct 9",5,0
1154026000001,"Ida Township, Precinct 1",14,0
1154026000002,"Ida Township, Precinct 2",15,0
1154626000001,"La Salle Township, Precinct 1",13,0
1154626000002,"La Salle Township, Precinct 2",7,0
1154918000001,"London Township, Precinct 1",16,0
1155390000001,"Milan Township, Precinct 1",0,0
1155504000001,"Monroe Charter Township, Precinct 1",9,0
1155504000002,"Monroe Charter Township, Precinct 2",6,0
1155504000003,"Monroe Charter Township, Precinct 3",11,1
1155504000004,"Monroe Charter Township, Precinct 4",7,0
1155504000005,"Monroe Charter Township, Precinct 5",16,0
1155504000006,"Monroe Charter Township, Precinct 6",5,0
1156690000001,"Raisinville Township, Precinct 1",6,0
1156690000002,"Raisinville Township, Precinct 2",10,0
1157714000001,"Summerfield Township, Precinct 1",11,0
1158674000001,"Whiteford Township, Precinct 1",20,0
1158674000002,"Whiteford Township, Precinct 2",14,0
