id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
1154970000001,"City of Luna Pier, Precinct 1",0,0,2,0
1155502000001,"City of Monroe, Precinct 1",12,0,7,0
1155502000002,"City of Monroe, Precinct 2",20,0,6,0
,"City of Monroe, Precinct 3N",7,0,1,0
,"City of Monroe, Precinct 3S",1,2,1,0
1155502000004,"City of Monroe, Precinct 4",16,1,8,0
1155502000005,"City of Monroe, Precinct 5",7,0,17,0
1155502000006,"City of Monroe, Precinct 6",6,0,9,0
1156380000001,"City of Petersburg, Precinct 1",5,1,7,0
1150368000001,"Ash Township, Precinct 1",0,0,4,0
1150368000002,"Ash Township, Precinct 2",10,0,4,0
1150368000003,"Ash Township, Precinct 3",2,0,8,0
1150674000001,"Bedford Township, Precinct 1",0,0,0,0
1150674000002,"Bedford Township, Precinct 2",5,0,3,0
1150674000003,"Bedford Township, Precinct 3",4,0,2,0
1150674000004,"Bedford Township, Precinct 4",12,0,1,0
1150674000005,"Bedford Township, Precinct 5",11,0,7,0
1150674000006,"Bedford Township, Precinct 6",4,0,1,0
1150674000007,"Bedford Township, Precinct 7",6,1,9,0
1150674000008,"Bedford Township, Precinct 8",9,1,1,0
1150674000009,"Bedford Township, Precinct 9",6,0,0,0
1150674000010,"Bedford Township, Precinct 10",1,0,3,0
1150674000011,"Bedford Township, Precinct 11",6,1,2,0
1150674000012,"Bedford Township, Precinct 12",5,0,5,0
1150674000013,"Bedford Township, Precinct 13",1,0,0,0
1150674000014,"Bedford Township, Precinct 14",6,0,1,0
1150772000001,"Berlin Township, Precinct 1",2,0,4,0
1150772000002,"Berlin Township, Precinct 2",7,2,12,0
1150772000003,"Berlin Township, Precinct 3",4,2,3,0
1150772000004,"Berlin Township, Precinct 4",15,0,3,0
1152340000001,"Dundee Township, Precinct 1",4,0,0,0
1152340000002,"Dundee Township, Precinct 2",10,1,7,0
1152340000003,"Dundee Township, Precinct 3",11,0,6,0
1152632000001,"Erie Township, Precinct 1",10,2,3,0
1152688000001,"Exeter Township, Precinct 1",2,0,2,0
1152688000002,"Exeter Township, Precinct 2",10,0,5,0
1153082000001,"Frenchtown Township, Precinct 1",5,1,2,0
1153082000002,"Frenchtown Township, Precinct 2",3,0,0,0
1153082000003,"Frenchtown Township, Precinct 3",4,1,4,0
1153082000004,"Frenchtown Township, Precinct 4",12,0,5,0
1153082000005,"Frenchtown Township, Precinct 5",9,0,0,0
1153082000006,"Frenchtown Township, Precinct 6",4,0,4,0
1153082000007,"Frenchtown Township, Precinct 7",12,0,9,0
1153082000008,"Frenchtown Township, Precinct 8",3,0,2,0
1153082000009,"Frenchtown Township, Precinct 9",6,0,0,0
1154026000001,"Ida Township, Precinct 1",10,1,3,0
1154026000002,"Ida Township, Precinct 2",10,0,7,0
1154626000001,"La Salle Township, Precinct 1",7,0,7,0
1154626000002,"La Salle Township, Precinct 2",4,0,3,0
1154918000001,"London Township, Precinct 1",4,0,18,0
1155390000001,"Milan Township, Precinct 1",2,0,0,0
1155504000001,"Monroe Charter Township, Precinct 1",5,0,4,0
1155504000002,"Monroe Charter Township, Precinct 2",4,0,2,0
1155504000003,"Monroe Charter Township, Precinct 3",10,1,4,0
1155504000004,"Monroe Charter Township, Precinct 4",4,0,4,0
1155504000005,"Monroe Charter Township, Precinct 5",9,1,8,0
1155504000006,"Monroe Charter Township, Precinct 6",2,0,4,0
1156690000001,"Raisinville Township, Precinct 1",5,0,3,0
1156690000002,"Raisinville Township, Precinct 2",2,0,9,0
1157714000001,"Summerfield Township, Precinct 1",7,0,6,0
1158674000001,"Whiteford Township, Precinct 1",12,0,10,0
1158674000002,"Whiteford Township, Precinct 2",10,0,5,0
